AQW00061705        3614C
USC00314063        1390S
USC00314144        1294R
USC00314260        1240R
USC00314456        1303R
USC00314464        1309S
USC00314471        1506Q
USC00314496         610S
USC00314684        1405S
USC00314689        1608S
USC00314788         314R
USC00314860        1554S
USC00314938        1227S
USC00314962        1409R
USC00314970        1330S
USC00314996        1269C
USC00315116        1462S
USC00315123        1359S
USC00315175        1473Q
USC00315177        1497R
USC00315340        1408R
USC00315356        1027S
USC00315743        1291S
USC00315771        1439C
USC00315820        1543Q
USC00315830        1325S
USC00315838        1162C
USC00315890        1125S
USC00315923       -7777S
USC00315996        1163S
USC00316001        1169S
USC00316122        1293Q
USC00316256        1172S
USC00316341        1006S
USC00316349         988R
USC00316422        1432Q
USC00316507        1177R
USC00316510        1196R
USC00316676        1411Q
USC00316805        1000S
USC00316853        1443S
USC00317056        1374R
USC00317074        1371S
USC00317079        1372S
USC00317170        1443Q
USC00317202        1146S
USC00317319        1245S
USC00317346         732Q
USC00317516        1210S
USC00317548        1073R
USC00317615        1299S
USC00317618        1201S
USC00317656        1437S
USC00317813        1432Q
USC00317845        1314R
USC00317924        1231S
USC00317994        1281S
USC00318113        1640R
USC00318158         825Q
USC00318221         635Q
USC00318292        1121S
USC00318380        1348Q
USC00318448         145R
USC00318492        1145S
USC00318500        1330S
USC00318519        1133R
USC00318694         441S
USC00318744        1064S
USC00318964        1420C
USC00319026        1547Q
USC00319081        1404R
USC00319100        1427Q
USC00319123        1103C
USC00319147         672S
USC00319357        1513R
USC00319423        1520S
USC00319440        1341S
USC00319461        1460Q
USC00319467        1535S
USC00319476        1417S
USC00319555        1181C
USC00319675        1099C
USC00319704        1261R
USC00320127         733R
USC00320209         746R
USC00320382         612S
USC00320590         663R
USC00320626         365R
USC00320766         796R
USC00320767         628Q
USC00320817         573Q
USC00320941         469S
USC00320961         496R
USC00320995         612S
USC00321052         787R
USC00321225         614S
USC00321360         462R
USC00321362         598R
USC00321370         620R
USC00321408         645R
USC00321435         410S
USC00321456         671S
USC00321686         648S
USC00321766         494S
USC00321871         571C
USC00322188         629S
USC00322193         616S
USC00322304         566S
USC00322365         723R
USC00322482         590R
USC00322525         408S
USC00322536         713R
USC00322605         683R
USC00322695         728R
USC00322809         645S
USC00322949         612R
USC00323004         658R
USC00323117         651S
USC00323196         463S
USC00323207         834R
USC00323217         624R
USC00323287         647S
USC00323309         591R
USC00323376         551S
USC00323594         605R
USC00323621         568R
USC00323686         649R
USC00323705         603R
USC00323908         662R
USC00323963         575S
USC00324013         542R
USC00324083         573R
USC00324091         677R
USC00324102         581R
USC00324178         644R
USC00324180         710Q
USC00324203         598R
USC00324343         491R
USC00324418         593S
USC00324571         695S
USC00324646         504S
USC00324722         670R
USC00324937         724S
USC00324958         331S
USC00325013         532R
USC00325078         526R
USC00325186         637Q
USC00325210         690R
USC00325211         647Q
USC00325220         694S
USC00325479         620S
USC00325638         570S
USC00325660         562R
USC00325710         685S
USC00325730         574S
USC00325754         742S
USC00325764         548R
USC00325813         769R
USC00325848         457R
USC00325993         499S
USC00326015         772R
USC00326025         515R
USC00326155         735S
USC00326255         603S
USC00326315         666S
USC00326365         583S
USC00326620         655R
USC00326857         634R
USC00327027         463S
USC00327047         626R
USC00327281         480R
USC00327311         727S
USC00327530         634C
USC00327585         507Q
USC00327655         468Q
USC00327664         259S
USC00327704         563S
USC00327986         424R
USC00328276         481S
USC00328366         626R
USC00328415         520R
USC00328660         652Q
USC00328737         701S
USC00328792         603S
USC00328812         675S
USC00328840         612S
USC00328850         651R
USC00328853         386R
USC00328872         581S
USC00328913         559C
USC00328937         598S
USC00328990         547R
USC00329100         720R
USC00329195         658S
USC00329233         644R
USC00329246         749S
USC00329333         619S
USC00329400         486S
USC00329430         776S
USC00329445         499S
USC00329455         469R
USC00329515         511R
USC00330061         696R
USC00330256         708R
USC00330264         508R
USC00330279         778S
USC00330430         713R
USC00330563         740S
USC00330676         940R
USC00330862         789S
USC00331042         788Q
USC00331072         735S
USC00331152         583S
USC00331175         798Q
USC00331197         967S
USC00331245         617R
USC00331288         922R
USC00331390         803S
USC00331404         793S
USC00331458         532C
USC00331515         961R
USC00331528         997R
USC00331536        1029S
USC00331541         613S
USC00331550        1019S
USC00331592         937S
USC00331783        1043R
USC00331890         799S
USC00331905         686S
USC00332044         746C
USC00332067        1057S
USC00332098         805S
USC00332119         933R
USC00332160         778R
USC00332251         585S
USC00332485         945S
USC00332599         860S
USC00332651        1134R
USC00332791         824S
USC00332928         976R
USC00332956         673S
USC00332974         817R
USC00332976         781R
USC00333021         800Q
USC00333029        1338S
USC00333375         799S
USC00333500         847S
USC00333722         886R
USC00333758         747S
USC00333780         505S
USC00333874         816S
USC00333987        1055R
USC00334004         900R
USC00334189         840S
USC00334260         585R
USC00334383         790R
USC00334403         995R
USC00334551         794S
USC00334672         906R
USC00334681         853R
USC00334874         693S
USC00334927         963S
USC00334942         781S
USC00334979         895S
USC00335041         889S
USC00335188        1088Q
USC00335268        1066R
USC00335297         775R
USC00335315         538S
USC00335356         916R
USC00335438         717C
USC00335669         756R
USC00335747         788S
USC00335857         863S
USC00335894         841R
USC00335939         924R
USC00336118         686R
USC00336196         707S
USC00336389         526R
USC00336405         797S
USC00336465         784S
USC00336600         832S
USC00336650         924Q
USC00336781        1106S
USC00336882         513R
USC00337120        1047R
USC00337559         877Q
USC00337693         873S
USC00337857        1132R
USC00337935         846S
USC00338025         752S
USC00338313         815S
USC00338366         841R
USC00338534         817S
USC00338552         811S
USC00338609         868S
USC00338769         672C
USC00338794         809R
USC00338810        1014R
USC00338822         737S
USC00338830        1051S
USC00338951         985S
USC00339219         863S
USC00339299         684Q
USC00339312         725C
USC00339361         835S
USC00340010        1456Q
USC00340017        1479S
USC00340028        1283Q
USC00340179        1614S
USC00340184        1530S
USC00340193        1443R
USC00340224        1407S
USC00340256        1492R
USC00340292        1582R
USC00340332        1262R
USC00340391        1502Q
USC00340535        1374R
USC00340546        1380Q
USC00340567        1252R
USC00340593        1409S
USC00340755        1327S
USC00340782        1427R
USC00340818        1331R
USC00340830        1441S
USC00340908        1367S
USC00340980        1512R
USC00341144        1333S
USC00341162        1495Q
USC00341168        1525R
USC00341243        1378R
USC00341445        1407R
USC00341504        1418R
USC00341648        1437Q
USC00341684        1559R
USC00341706        1588S
USC00341724        1420S
USC00341745        1474S
USC00341750        1626S
USC00341828        1340S
USC00341902        1431R
USC00341909        1398R
USC00342011        1471Q
USC00342318        1377S
USC00342660        1481S
USC00342678        1563R
USC00342818        1386R
USC00342849        1376R
USC00342912        1368S
USC00342944        1453S
USC00342993        1476R
USC00343286        1383Q
USC00343304        1435S
USC00343353        1621R
USC00343358        1427R
USC00343489        1343S
USC00343497        1341S
USC00343628        1396S
USC00343740        1397S
USC00343821        1401S
USC00343871        1388R
USC00343884        1512R
USC00344001        1515R
USC00344019        1396C
USC00344055        1321S
USC00344098        1350Q
USC00344235        1472R
USC00344249        1625S
USC00344298        1496R
USC00344384        1479R
USC00344393        1325Q
USC00344451        1583R
USC00344567        1360R
USC00344573        1400S
USC00344672        1362S
USC00344766        1473R
USC00344812        1315R
USC00344861        1426S
USC00344975        1272R
USC00345063        1517R
USC00345216        1471R
USC00345468        1580S
USC00345509        1591S
USC00345522        1460S
USC00345563        1501S
USC00345693        1547S
USC00345713        1563S
USC00345779        1409S
USC00345855        1322R
USC00346130        1397S
USC00346139        1342S
USC00346278        1260S
USC00346386        1370R
USC00346485        1451R
USC00346629        1468S
USC00346638        1440S
USC00346670        1452R
USC00346729        1233Q
USC00346926        1533R
USC00346935        1431S
USC00347012        1456S
USC00347080        1516Q
USC00347254        1565R
USC00347309        1332R
USC00347327        1388R
USC00347390        1444S
USC00347579        1358R
USC00347862        1345S
USC00348042        1597S
USC00348285        1325R
USC00348380        1337S
USC00348501        1434S
USC00348506        1229R
USC00348677        1338R
USC00348708        1381S
USC00348769        1336Q
USC00349017        1390R
USC00349023        1436S
USC00349101        1318Q
USC00349203        1255R
USC00349247        1406R
USC00349278        1581R
USC00349364        1349S
USC00349395        1730S
USC00349404        1439S
USC00349422        1405S
USC00349445        1458R
USC00349629        1468S
USC00349634        1540R
USC00349724        1447Q
USC00350036         927Q
USC00350118         834R
USC00350145         198Q
USC00350189         820R
USC00350197         689S
USC00350265         898R
USC00350304         922S
USC00350356         545S
USC00350471          12S
USC00350501         801S
USC00350595         600R
USC00350652         698S
USC00350694         569S
USC00350699         560R
USC00350723         972R
USC00350856         770R
USC00350858         968S
USC00350897         497S
USC00351055          91R
USC00351058          78Q
USC00351067         558S
USC00351174        1097R
USC00351433         457S
USC00351448        1287S
USC00351546         639R
USC00351574         772S
USC00351643         239S
USC00351682          65S
USC00351765         607S
USC00351836          99S
USC00351862         582S
USC00351877         560S
USC00351897         598S
USC00351902         523S
USC00351914         648Q
USC00351926         693R
USC00351946          56S
USC00352112         624R
USC00352135         802R
USC00352173        1065R
USC00352292         529S
USC00352374         518S
USC00352406         742S
USC00352415         905S
USC00352440         909S
USC00352597         808R
USC00352632         751Q
USC00352633         797R
USC00352675         425R
USC00352678         751R
USC00352693         524S
USC00352800         489Q
USC00352805         595R
USC00352867         682Q
USC00352876         896R
USC00352973          25Q
USC00352997         584S
USC00353014          61R
USC00353038         826R
USC00353047         637S
USC00353095         728R
USC00353193          48R
USC00353232         704Q
USC00353356          25R
USC00353402         132S
USC00353445        1008S
USC00353542         662S
USC00353604         949S
USC00353692         595R
USC00353770         376S
USC00353818         919R
USC00353827         746S
USC00353847         891R
USC00353908         633R
USC00353995          26R
USC00354003         602S
USC00354060         527S
USC00354098        1053S
USC00354126         726S
USC00354133        1049R
USC00354175         774R
USC00354291         903S
USC00354329         495R
USC00354411         718R
USC00354506        1007R
USC00354606         510S
USC00354622         745S
USC00354670         729S
USC00354721          26R
USC00354732          20R
USC00354776          96S
USC00354811         666S
USC00354819         596Q
USC00354835         620S
USC00355020         692R
USC00355050         449S
USC00355055        1036S
USC00355139         750S
USC00355142         762S
USC00355160        1022S
USC00355162         678R
USC00355174         720R
USC00355204         309Q
USC00355221         594S
USC00355258         618R
USC00355335        1065R
USC00355362         838Q
USC00355384         633S
USC00355392         849Q
USC00355424         925R
USC00355515         692R
USC00355545         719R
USC00355593         876C
USC00355638         605R
USC00355641         880R
USC00355681         520Q
USC00355711        1074Q
USC00355734         602S
USC00355945         461Q
USC00356151         561R
USC00356179        1036R
USC00356213         567S
USC00356243         642R
USC00356252         249R
USC00356302         878R
USC00356334         716S
USC00356366          85S
USC00356405        1092S
USC00356426         823R
USC00356466         574R
USC00356500         863R
USC00356532        1014S
USC00356540         858S
USC00356541         954R
USC00356550         829Q
USC00356634         928S
USC00356655         713R
USC00356749         496R
USC00356750         529R
USC00356784          16S
USC00356820         559R
USC00356853         892R
USC00356883         801R
USC00356907         948S
USC00357160        1037R
USC00357169         838S
USC00357208        1042R
USC00357277         912S
USC00357310        1076R
USC00357331         904S
USC00357391        1112R
USC00357466         454S
USC00357554         336R
USC00357631         200R
USC00357641          28R
USC00357675         533S
USC00357736         854R
USC00357809         206R
USC00357817         742S
USC00357823         436S
USC00357857         713S
USC00358007         795R
USC00358029         684R
USC00358095         496S
USC00358173         922S
USC00358246         567R
USC00358407         910R
USC00358420         759R
USC00358466         439S
USC00358481         484R
USC00358494          58S
USC00358498          53Q
USC00358536         705S
USC00358726         654R
USC00358746         739S
USC00358797        1056R
USC00358812         780R
USC00358884         333S
USC00358997         817S
USC00359176        1008R
USC00359290         858R
USC00359316         599S
USC00359461         682R
USC00359588           3Q
USC00360132         653Q
USC00360140         541S
USC00360147         729Q
USC00360409         400Q
USC00360457         627Q
USC00360560         776Q
USC00360582         426Q
USC00360656         864S
USC00360763         717R
USC00360785         819S
USC00360868         400R
USC00361004         532R
USC00361080         799R
USC00361139         668S
USC00361212         505S
USC00361301         611Q
USC00361350         320S
USC00361354         826S
USC00361362         380Q
USC00361480         598Q
USC00361485         580S
USC00361526         267Q
USC00361534         437R
USC00361591         829R
USC00361705         731C
USC00361719         606R
USC00361790         479R
USC00361802         444Q
USC00361810         257Q
USC00361838         562R
USC00361920         962Q
USC00362071         753R
USC00362108         761S
USC00362183         533R
USC00362190         888S
USC00362323         403Q
USC00362470         492S
USC00362537         935R
USC00362574         730Q
USC00362629         662S
USC00362721         768R
USC00362942         753S
USC00363018         489R
USC00363028         649S
USC00363295         542R
USC00363311         378Q
USC00363437         716R
USC00363451         868R
USC00363488        1094R
USC00363526         726R
USC00363632         898S
USC00363662         976R
USC00363665         876R
USC00363698         819R
USC00363758         504S
USC00364019         848R
USC00364076         761R
USC00364159         788Q
USC00364214         705S
USC00364325         501S
USC00364385        1048R
USC00364432         386C
USC00364763         875S
USC00364778         990S
USC00364815         294R
USC00364836         519R
USC00364839          84Q
USC00364853         691R
USC00364896         762S
USC00364976         792R
USC00364992         840S
USC00365050         469R
USC00365109         806S
USC00365212         880Q
USC00365390         950S
USC00365470         650R
USC00365573         874R
USC00365606         625R
USC00365651         576S
USC00365686         468Q
USC00365790         698Q
USC00365817         660R
USC00365902         741S
USC00365915         423R
USC00366022         389Q
USC00366042         662R
USC00366194         848S
USC00366233         825S
USC00366238         900R
USC00366297         822R
USC00366370        1082R
USC00366508         811S
USC00366649         423Q
USC00366689        1000R
USC00366886        1055R
USC00366921         466R
USC00366927         938R
USC00367029         233S
USC00367073        1050Q
USC00367103         419Q
USC00367167         645R
USC00367229         676S
USC00367312         800S
USC00367322         911S
USC00367338         858R
USC00367409         768S
USC00367477         464S
USC00367578         715R
USC00367732         888Q
USC00367782         776S
USC00367931         768C
USC00367938         830R
USC00368011         763R
USC00368073         925S
USC00368184         722S
USC00368308         566Q
USC00368361         493R
USC00368400         726R
USC00368449         612S
USC00368469         730S
USC00368560         425R
USC00368596         757S
USC00368668         723Q
USC00368868         553R
USC00368873         547S
USC00368888         558C
USC00368905         644S
USC00369050         868S
USC00369103        1024R
USC00369298         608C
USC00369318         643S
USC00369367         842S
USC00369408         344R
USC00369464         941R
USC00369735         877R
USC00369933        1066S
USC00374266         670S
USC00375215         259R
USC00375270         445S
USC00377581         592R
USC00379423         638Q
USC00380074        1599S
USC00380126        1761S
USC00380165        1442S
USC00380184        1589S
USC00380448        1735S
USC00380490        1779Q
USC00380559        1684R
USC00380635        1468Q
USC00380736        1548R
USC00380764        1816R
USC00381093        1572S
USC00381241        1709R
USC00381256         368S
USC00381277        1498S
USC00381310        1419R
USC00381479        1591R
USC00381588        1450S
USC00381625        1417R
USC00381633        1433S
USC00381645        1626R
USC00381726        1680S
USC00381770        1343S
USC00381944        1838S
USC00381997        1618S
USC00382260        1622R
USC00382386        1583S
USC00382730        1542R
USC00382735        1623Q
USC00382757        1620Q
USC00383111        1606S
USC00383468        1690R
USC00383470        1605Q
USC00383730        1552Q
USC00383754        1476S
USC00383906        1651R
USC00383990        1555R
USC00384111        1558Q
USC00384169        1522R
USC00384581         531Q
USC00384607        1442S
USC00384690        1483R
USC00384753        1708R
USC00384886        1742S
USC00385017        1468S
USC00385200        1299S
USC00385278        1037R
USC00385290        1401Q
USC00385306        1499R
USC00385493        1709S
USC00385509        1548R
USC00385628        1435R
USC00385633        1516S
USC00385658        1538Q
USC00385660        1564Q
USC00385946        1667R
USC00386114        1525Q
USC00386153        1384R
USC00386209        1511R
USC00386293        1291C
USC00386527        1512S
USC00386616        1480S
USC00386688        1622R
USC00386775        1510S
USC00386831        1346S
USC00386893        1670R
USC00387281        1449R
USC00387288        1651Q
USC00387589        1246R
USC00387631        1567S
USC00387666        1550S
USC00387683        1663Q
USC00387687        1297Q
USC00387722        1423C
USC00387885        1467R
USC00388188        1537S
USC00388405        1572S
USC00388426        1751R
USC00388440        1501S
USC00388472        1268Q
USC00388786        1517R
USC00388887        1353S
USC00388922        1662R
USC00389039        1699R
USC00389122        1355S
USC00389327        1485S
USC00389350        1480S
USC00389469        1895S
USC00389625        1386Q
USC00390043         858S
USC00390120         614Q
USC00390128         925S
USC00390223         730R
USC00390236         988S
USC00390281         662R
USC00390296        1034R
USC00390422         546R
USC00390554         915R
USC00390559         933R
USC00390565         772R
USC00390701         797S
USC00390778         825R
USC00391032         761S
USC00391049         791C
USC00391076         572C
USC00391294         812S
USC00391392         771R
USC00391519         576S
USC00391539         979R
USC00391579         802S
USC00391621         917S
USC00391739         598S
USC00391777         499S
USC00391873         667S
USC00391917         721R
USC00391972         965S
USC00392087         442R
USC00392207         592R
USC00392209         575Q
USC00392231         241R
USC00392302         633S
USC00392429         847S
USC00392446         814S
USC00392557        1006S
USC00392565         709R
USC00392647         878R
USC00392797         685S
USC00392822         810Q
USC00392852         811S
USC00392927         793S
USC00392984         566S
USC00393029         912S
USC00393069         824C
USC00393076        1051R
USC00393217         831S
USC00393294         682S
USC00393302         819Q
USC00393316         702R
USC00393452         817S
USC00393574         869R
USC00393608         869R
USC00393764         809Q
USC00393832         816S
USC00393838         751S
USC00393857         812R
USC00393868         582R
USC00393945         780Q
USC00394007         990C
USC00394037         702S
USC00394184        1083S
USC00394206         671S
USC00394343         592R
USC00394516        1012S
USC00394596         903C
USC00394671         685Q
USC00394766         888R
USC00394834         399S
USC00394864         767S
USC00394891         635R
USC00394956         667Q
USC00394983         964S
USC00395048         669R
USC00395090         693R
USC00395154         904R
USC00395228         753R
USC00395281         869R
USC00395285         589R
USC00395325         885S
USC00395360         648Q
USC00395381         792S
USC00395406         720R
USC00395456         733S
USC00395481         963C
USC00395506         932S
USC00395536         702R
USC00395544         873S
USC00395561         764S
USC00395620         855C
USC00395638         883S
USC00395648         838Q
USC00395669         906Q
USC00395671         840R
USC00395691         730R
USC00395738         728R
USC00395870         404S
USC00395891         880S
USC00396054         791S
USC00396170         905R
USC00396212         960S
USC00396227         954R
USC00396292         850S
USC00396304         980R
USC00396427         416S
USC00396574         947S
USC00396636         896R
USC00396712         805C
USC00396736         971S
USC00396790         869R
USC00396907         777R
USC00396947         694S
USC00396948         677R
USC00397052         763R
USC00397062         749S
USC00397073         744R
USC00397227         406R
USC00397277         643R
USC00397326         561Q
USC00397418         738Q
USC00397545         694S
USC00397569         780Q
USC00397742         656S
USC00397882         850S
USC00397992         801S
USC00398116         581S
USC00398307         792C
USC00398420         694Q
USC00398472         880C
USC00398528         843R
USC00398622         963S
USC00398652         614R
USC00398767        1019C
USC00398911         953R
USC00398930         626Q
USC00398980         612S
USC00399004         537S
USC00399042         700R
USC00399070         814S
USC00399232         816S
USC00399337         611Q
USC00399347         736R
USC00399355         607Q
USC00399367         942S
USC00399442         919R
USC00399537         804R
USC00400049        1338Q
USC00400081         641S
USC00400137        1479S
USC00400284        1289C
USC00400669        1252R
USC00400705        1451R
USC00400876        1397C
USC00401039        1295Q
USC00401145        1407S
USC00401310        1163R
USC00401352        1363R
USC00401480        1378S
USC00401561        1341R
USC00401585        1055Q
USC00401587        1445R
USC00401640        1247Q
USC00401663        1317S
USC00401720        1237Q
USC00401790        1398S
USC00401795        1311Q
USC00401808        1337S
USC00401887         888R
USC00401950        1432R
USC00401957        1331S
USC00402009        1237C
USC00402024        1234R
USC00402108        1340C
USC00402202         923S
USC00402360        1245S
USC00402388        1298R
USC00402489        1279S
USC00402589        1226S
USC00402600        1298S
USC00402711        1300Q
USC00402806        1093S
USC00402934        1111S
USC00402989        1259Q
USC00403040         976R
USC00403074        1427S
USC00403280        1372S
USC00403370        1344R
USC00403420        1158S
USC00403447        1520R
USC00403465        1347Q
USC00403636        1181Q
USC00403679        1291S
USC00403938        1296R
USC00404033        1338Q
USC00404223        1384R
USC00404417        1339S
USC00404561        1446S
USC00404568        1433Q
USC00404590         966Q
USC00404613        1190R
USC00404858        1275S
USC00404871        1276R
USC00404876        1412S
USC00404946        1271S
USC00404987        1296S
USC00405035        1254R
USC00405040        1068R
USC00405089        1255S
USC00405108        1364S
USC00405118        1300Q
USC00405158        1338S
USC00405187        1364C
USC00405210        1396R
USC00405214        1286Q
USC00405278        1390R
USC00405332        1210S
USC00405358        1300R
USC00405431         866R
USC00405525        1373Q
USC00405595        1263R
USC00405681        1371S
USC00405882        1366S
USC00405956        1456R
USC00405966        1420Q
USC00406012        1428S
USC00406162         848S
USC00406170         964R
USC00406180        1081Q
USC00406271        1201S
USC00406272        1029R
USC00406274        1399S
USC00406292         844R
USC00406308        1254Q
USC00406328           0R
USC00406330        1342Q
USC00406340        1357R
USC00406371        1417S
USC00406435        1455S
USC00406471        1340R
USC00406493        1228R
USC00406534        1262S
USC00406619        1191S
USC00406806        1229R
USC00406829        1055S
USC00406977        1284S
USC00407015        1494R
USC00407141        1026Q
USC00407184        1301S
USC00407359        1224S
USC00407459        1339S
USC00407710        1325R
USC00407808        1224Q
USC00407834        1229S
USC00407884        1043S
USC00408065        1298R
USC00408108        1515S
USC00408160        1437S
USC00408179        1385S
USC00408184        1130R
USC00408246        1387S
USC00408405        1219S
USC00408414        1351R
USC00408445         876R
USC00408522        1379R
USC00408540        1220Q
USC00408562        1252C
USC00408868        1155S
USC00408886        1359Q
USC00408916        1220R
USC00408953        1383Q
USC00409065         699R
USC00409155        1206S
USC00409219        1300S
USC00409431        1298Q
USC00409434         860Q
USC00409481        1332Q
USC00409492        1386R
USC00409493        1263Q
USC00409502        1329S
USC00409691        1304Q
USC00409709        1256Q
USC00409800        1234R
USC00409866        1459S
USC00410012        1478Q
USC00410013        1759Q
USC00410040        1809R
USC00410120        1735R
USC00410144        2457R
USC00410174        1609R
USC00410204        1728R
USC00410206        1627Q
USC00410225        2132C
USC00410235        1762S
USC00410248        1888R
USC00410257        1784S
USC00410268        1811R
USC00410305        1764S
USC00410313        1722S
USC00410337        1575R
USC00410345        2554Q
USC00410394        1793S
USC00410404        1673S
USC00410408        1674R
USC00410431        1918Q
USC00410433        1870Q
USC00410482        1959S
USC00410493        1846S
USC00410498        1997S
USC00410518        1759S
USC00410569        1924S
USC00410586        1852S
USC00410611        1838Q
USC00410613        1891C
USC00410639        2162S
USC00410655        1897Q
USC00410665        1864R
USC00410690        2445R
USC00410691        1743S
USC00410764        1908R
USC00410779        1788R
USC00410805        2312R
USC00410832        1794S
USC00410902        1879S
USC00410923        1484R
USC00410926        1545Q
USC00410950        2599R
USC00410958        1487S
USC00410984        1550R
USC00411000        1458S
USC00411007        2052R
USC00411013        2040R
USC00411017        1875S
USC00411033        1382S
USC00411042        1816R
USC00411048        1885S
USC00411063        1604S
USC00411128        1655C
USC00411138        1896S
USC00411246        1645R
USC00411250        1788S
USC00411267        1356Q
USC00411337        2268R
USC00411348        1354R
USC00411398        1879R
USC00411412        1430R
USC00411416        2413S
USC00411429        1754S
USC00411430        1411S
USC00411486        2315R
USC00411492        1898R
USC00411500        1731R
USC00411524        2570S
USC00411528        2494R
USC00411541        1921Q
USC00411578        1856C
USC00411596        1826S
USC00411649        1289R
USC00411651        2271R
USC00411663        2339S
USC00411671        2110Q
USC00411694        1602R
USC00411715        1134S
USC00411720        2165R
USC00411772        1515S
USC00411778        1345R
USC00411800        1779C
USC00411810        1771S
USC00411870        1885R
USC00411875        1882S
USC00411880        2022Q
USC00411903        1841R
USC00411911        2087S
USC00411934        1817R
USC00411956        1916R
USC00411974        1778S
USC00411995        1778R
USC00412011        2150Q
USC00412012        1805R
USC00412013        2207Q
USC00412019        1755S
USC00412082        1868R
USC00412114        1810R
USC00412121        1575C
USC00412125        2276Q
USC00412160        2385S
USC00412173        2329S
USC00412225        1728R
USC00412235        1277R
USC00412238        1316Q
USC00412266        1963S
USC00412334        1579Q
USC00412352        1686R
USC00412354        1935S
USC00412361        2096R
USC00412394        1446R
USC00412404        1679S
USC00412408        1638R
USC00412458        2278R
USC00412464        1403S
USC00412585        1803R
USC00412590        2048R
USC00412593        1695Q
USC00412598        1625S
USC00412617        1315S
USC00412677        1697R
USC00412679        2260S
USC00412715        1750R
USC00412741        1780Q
USC00412758        2597Q
USC00412786        2113Q
USC00412793        1836Q
USC00412794        1532R
USC00412809        1687Q
USC00412816        1766Q
USC00412820        1960S
USC00412902        1552R
USC00412906        2488R
USC00412950        2468Q
USC00413005        1840S
USC00413047        1662R
USC00413060        2639S
USC00413063        2520R
USC00413133        1762S
USC00413183        1869S
USC00413201        2167S
USC00413214        1470S
USC00413225        1363R
USC00413257        1775R
USC00413262        1491R
USC00413266        2007S
USC00413280        1970R
USC00413285        1683R
USC00413289        1698Q
USC00413299        2271S
USC00413321        1876R
USC00413329        1796S
USC00413340        1806S
USC00413341        2324R
USC00413368        1385S
USC00413411        1827R
USC00413420        1528R
USC00413445        1703R
USC00413485        1763R
USC00413507        1909S
USC00413546        1678S
USC00413591        1915R
USC00413614        1624R
USC00413618        2105S
USC00413622        2003S
USC00413668        1786S
USC00413675        1739Q
USC00413680        2086R
USC00413686        1877S
USC00413691        1643S
USC00413734        1832S
USC00413778        1775R
USC00413787        1365S
USC00413828        1735S
USC00413873        1955S
USC00413877        1668R
USC00413943        2552S
USC00413972        1406R
USC00413979        1235Q
USC00413992        1712S
USC00414058        2442S
USC00414077        1748Q
USC00414081        1693S
USC00414093        1687R
USC00414098        1409S
USC00414137        1721S
USC00414182        1817S
USC00414202        1629Q
USC00414254        2098Q
USC00414278        1657S
USC00414326        1998R
USC00414328        1960R
USC00414333        1775R
USC00414348        2054R
USC00414375        1666R
USC00414382        1836S
USC00414483        1736R
USC00414517        1626R
USC00414525        1729R
USC00414570        1667S
USC00414577        1661R
USC00414597        1780Q
USC00414605        1931S
USC00414670        1998R
USC00414696        2139R
USC00414705        1679S
USC00414710        1841Q
USC00414770        1530R
USC00414775        1875Q
USC00414782        1793S
USC00414792        1807R
USC00414903        1958S
USC00414911        2744R
USC00414931        1813S
USC00414950        2537S
USC00414967        1654R
USC00414974        1783R
USC00414976        1514R
USC00414979        1810R
USC00414980        1576R
USC00414982        1704S
USC00415013        1659S
USC00415018        1925R
USC00415048        2188S
USC00415060        2456S
USC00415094        1689R
USC00415120        1819Q
USC00415183        1516S
USC00415193        1921S
USC00415196        1872S
USC00415247        1433S
USC00415265        1558S
USC00415271        1895S
USC00415272        2121S
USC00415341        1789R
USC00415344        1777Q
USC00415415        1731R
USC00415429        1987S
USC00415435        1892Q
USC00415454        2175R
USC00415477        1944S
USC00415579        1809R
USC00415596        1584R
USC00415611        1837S
USC00415618        1619S
USC00415650        1772R
USC00415658        1618S
USC00415659        1603S
USC00415661        2283S
USC00415701        2631R
USC00415707        1977R
USC00415721        2623S
USC00415742        1930R
USC00415757        1734S
USC00415766        1374R
USC00415770        1452S
USC00415821        1601S
USC00415822        1776S
USC00415836        2423Q
USC00415852        1704Q
USC00415869        1800R
USC00415875        1332R
USC00415888        1869R
USC00415891        2026S
USC00415954        1738Q
USC00415956        1691R
USC00415972        2730R
USC00415999        2021R
USC00416074        1546S
USC00416104        1115S
USC00416108        1636S
USC00416119        1531S
USC00416135        1512S
USC00416137        1583S
USC00416146        1772R
USC00416177        1775S
USC00416210        1815S
USC00416276        1907R
USC00416286        2070R
USC00416368        2006R
USC00416499        1885R
USC00416502        1846Q
USC00416636        1719S
USC00416644        1339R
USC00416680        1786R
USC00416733        1955Q
USC00416734        1833R
USC00416739        1684Q
USC00416740        1763R
USC00416742        1803R
USC00416747        1860S
USC00416776        1325S
USC00416780        2018R
USC00416781        1968R
USC00416785        1366S
USC00416792        1963S
USC00416794        1709S
USC00416879        2291S
USC00416892        2097R
USC00416893        1983Q
USC00416932        1891S
USC00416950        1324S
USC00416959        2228R
USC00417020        1970R
USC00417028        1706R
USC00417044        1109R
USC00417066        1678Q
USC00417074        1618R
USC00417079        1414C
USC00417081        1432Q
USC00417111        2150R
USC00417140        1833R
USC00417170        1831R
USC00417179        2226S
USC00417183        1962Q
USC00417184        2134S
USC00417186        1752R
USC00417206        1759R
USC00417215        2206S
USC00417232        1775R
